"state","total_patients","num_hospitals","avg_payment"
AK,1322,8,24728.15
MD,14012,42,23753.23
DC,1304,6,23686.90
HI,1545,12,23609.90
NY,38616,125,23136.81
CA,66956,263,22036.49
WY,823,8,20959.18
CT,7047,26,20317.50
MA,14894,51,19460.37
OR,4395,30,19350.46
NJ,18168,62,19350.18
DE,2111,6,18309.18
RI,1036,9,18162.27
ME,1725,17,18090.39
WA,9916,45,18034.83
MN,7006,45,17864.51
NV,5377,21,17729.45
SD,1841,10,17236.71
NM,3032,24,17080.72
IL,23483,110,17072.89
PA,22726,115,16995.00
NH,2489,13,16875.14
AZ,10709,50,16753.96
GA,15238,78,16668.74
TX,40753,197,16497.16
CO,6281,43,16491.27
MI,13831,81,16320.04
WI,7593,61,16149.04
ID,2176,11,16114.11
VA,18648,69,16012.88
UT,3464,29,16005.85
NC,14902,78,15915.60
ND,1803,6,15600.23
NE,3697,19,15467.39
OH,16815,106,15465.87
WV,4007,20,15334.69
SC,9624,49,15279.43
MT,1819,11,15268.73
MO,10635,61,15146.42
KS,6200,32,15011.59
IN,11349,70,14982.07
FL,45920,163,14978.54
TN,13917,69,14714.68
LA,7350,55,14565.47
OK,8994,48,14524.00
KY,8928,55,14460.86
AL,7128,54,14258.67
IA,4966,31,14227.62
MS,7534,42,13961.60
AR,6605,36,13781.03
VT,1085,6,12078.70
